Entity,Code,Day,share_doses_used
American Samoa,ASM,2021-03-03,71.6
American Samoa,ASM,2021-03-04,55.7
American Samoa,ASM,2021-03-05,50
American Samoa,ASM,2021-03-06,50
American Samoa,ASM,2021-03-07,50
American Samoa,ASM,2021-03-08,50
American Samoa,ASM,2021-03-09,50
American Samoa,ASM,2021-03-10,54.800000000000004
American Samoa,ASM,2021-03-11,54.800000000000004
American Samoa,ASM,2021-03-12,54.800000000000004
American Samoa,ASM,2021-03-13,54.800000000000004
American Samoa,ASM,2021-03-14,54.800000000000004
American Samoa,ASM,2021-03-15,56.2
American Samoa,ASM,2021-03-16,56.2
American Samoa,ASM,2021-03-17,56.2
American Samoa,ASM,2021-03-18,56.2
American Samoa,ASM,2021-03-19,56.2
American Samoa,ASM,2021-03-20,56.2
American Samoa,ASM,2021-03-21,56.2
American Samoa,ASM,2021-03-22,62.5
American Samoa,ASM,2021-03-23,63.1
American Samoa,ASM,2021-03-24,64.4
American Samoa,ASM,2021-03-25,63.6
American Samoa,ASM,2021-03-26,65.10000000000001
American Samoa,ASM,2021-03-27,65.10000000000001
American Samoa,ASM,2021-03-28,65.10000000000001
American Samoa,ASM,2021-03-29,65.10000000000001
American Samoa,ASM,2021-03-30,66.4
American Samoa,ASM,2021-03-31,71.1
American Samoa,ASM,2021-04-01,71.1
American Samoa,ASM,2021-04-02,72.5
American Samoa,ASM,2021-04-03,72.5
American Samoa,ASM,2021-04-04,72.5
American Samoa,ASM,2021-04-05,72.5
American Samoa,ASM,2021-04-06,72.5
American Samoa,ASM,2021-04-07,75
American Samoa,ASM,2021-04-08,75.1
American Samoa,ASM,2021-04-09,76.6
American Samoa,ASM,2021-04-10,76.6
American Samoa,ASM,2021-04-11,78
American Samoa,ASM,2021-04-12,78
American Samoa,ASM,2021-04-13,78
American Samoa,ASM,2021-04-14,79.4
American Samoa,ASM,2021-04-15,79.4
American Samoa,ASM,2021-04-16,82.1
American Samoa,ASM,2021-04-17,82.1
American Samoa,ASM,2021-04-18,82.1
American Samoa,ASM,2021-04-19,82.1
American Samoa,ASM,2021-04-20,82.1
American Samoa,ASM,2021-04-21,82.39999999999999
American Samoa,ASM,2021-04-22,82.39999999999999
American Samoa,ASM,2021-04-23,79.2
American Samoa,ASM,2021-04-24,79.2
American Samoa,ASM,2021-04-25,80
American Samoa,ASM,2021-04-26,80
American Samoa,ASM,2021-04-27,80.4
American Samoa,ASM,2021-04-28,80.4
American Samoa,ASM,2021-04-29,71
American Samoa,ASM,2021-04-30,71.7
American Samoa,ASM,2021-05-01,71.7
American Samoa,ASM,2021-05-02,71.7
American Samoa,ASM,2021-05-03,71.7
American Samoa,ASM,2021-05-04,72.39999999999999
American Samoa,ASM,2021-05-05,72.7
American Samoa,ASM,2021-05-06,72.7
American Samoa,ASM,2021-05-07,73.4
American Samoa,ASM,2021-05-08,73.4
American Samoa,ASM,2021-05-09,73.4
American Samoa,ASM,2021-05-10,73.4
American Samoa,ASM,2021-05-11,73.4
American Samoa,ASM,2021-05-12,73.4
American Samoa,ASM,2021-05-13,74.2
American Samoa,ASM,2021-05-14,74.2
American Samoa,ASM,2021-05-15,75
American Samoa,ASM,2021-05-16,75
American Samoa,ASM,2021-05-17,75
American Samoa,ASM,2021-05-18,75
American Samoa,ASM,2021-05-19,76.7
American Samoa,ASM,2021-05-20,76.7
American Samoa,ASM,2021-05-21,77.60000000000001
American Samoa,ASM,2021-05-22,77.60000000000001
American Samoa,ASM,2021-05-23,77.60000000000001
American Samoa,ASM,2021-05-24,77.60000000000001
American Samoa,ASM,2021-05-25,77.60000000000001
American Samoa,ASM,2021-05-26,77.60000000000001
American Samoa,ASM,2021-05-27,78.7
American Samoa,ASM,2021-05-28,78.7
American Samoa,ASM,2021-05-29,78.7
American Samoa,ASM,2021-05-30,78.7
American Samoa,ASM,2021-06-01,78.7
American Samoa,ASM,2021-06-02,79.7
American Samoa,ASM,2021-06-03,79.7
American Samoa,ASM,2021-06-04,79.7
American Samoa,ASM,2021-06-05,80.30000000000001
American Samoa,ASM,2021-06-06,80.30000000000001
American Samoa,ASM,2021-06-07,80.30000000000001
American Samoa,ASM,2021-06-08,80.30000000000001
American Samoa,ASM,2021-06-09,80.30000000000001
American Samoa,ASM,2021-06-10,80.30000000000001
American Samoa,ASM,2021-06-11,80.9
American Samoa,ASM,2021-06-12,80.9
American Samoa,ASM,2021-06-13,81.5
American Samoa,ASM,2021-06-14,81.5
American Samoa,ASM,2021-06-15,82.19999999999999
American Samoa,ASM,2021-06-16,82.6
American Samoa,ASM,2021-06-17,82.6
American Samoa,ASM,2021-06-18,83.3
American Samoa,ASM,2021-06-19,83.3
American Samoa,ASM,2021-06-20,83.3
American Samoa,ASM,2021-06-21,83.3
American Samoa,ASM,2021-06-22,83.89999999999999
Arizona,,2021-01-12,25.1
Arizona,,2021-01-13,27.200000000000003
Arizona,,2021-01-14,30.4
Arizona,,2021-01-15,34.5
Arizona,,2021-01-19,46.6
Arizona,,2021-01-20,37.5
Arizona,,2021-01-21,38.1
Arizona,,2021-01-22,40.1
Arizona,,2021-01-23,43.5
Arizona,,2021-01-24,47.099999999999994
Arizona,,2021-01-25,49.9
Arizona,,2021-01-26,51.5
Arizona,,2021-01-27,46.300000000000004
Arizona,,2021-01-28,48.199999999999996
Arizona,,2021-01-29,51.5
Arizona,,2021-01-30,55.00000000000001
Arizona,,2021-01-31,58.599999999999994
Arizona,,2021-02-01,61.199999999999996
Arizona,,2021-02-02,58.4
Arizona,,2021-02-03,55.50000000000001
Arizona,,2021-02-04,57.9
Arizona,,2021-02-05,60.699999999999996
Arizona,,2021-02-06,64.7
Arizona,,2021-02-07,68.2
Arizona,,2021-02-08,70.89999999999999
Arizona,,2021-02-09,68.2
Arizona,,2021-02-10,65.5
Arizona,,2021-02-11,67.7
Arizona,,2021-02-12,71.1
Arizona,,2021-02-13,74.7
Arizona,,2021-02-14,78.2
Arizona,,2021-02-16,82.69999999999999
Arizona,,2021-02-17,83.39999999999999
Arizona,,2021-02-18,86.1
Arizona,,2021-02-19,82
Arizona,,2021-02-20,84.39999999999999
Arizona,,2021-02-21,87.1
Arizona,,2021-02-22,89.2
Arizona,,2021-02-23,86.9
Arizona,,2021-02-24,78.7
Arizona,,2021-02-25,77.9
Arizona,,2021-02-26,78
Arizona,,2021-02-27,80.5
Arizona,,2021-02-28,83.39999999999999
Arizona,,2021-03-01,86.1
Arizona,,2021-03-02,84.2
Arizona,,2021-03-03,80.7
Arizona,,2021-03-04,80.7
Arizona,,2021-03-05,78.5
Arizona,,2021-03-06,77.9
Arizona,,2021-03-07,82.39999999999999
Arizona,,2021-03-08,84.39999999999999
Arizona,,2021-03-09,85.1
Arizona,,2021-03-10,79.4
Arizona,,2021-03-11,80.80000000000001
Arizona,,2021-03-12,80.60000000000001
Arizona,,2021-03-13,82.1
Arizona,,2021-03-14,84.6
Arizona,,2021-03-15,86.1
Arizona,,2021-03-16,84.6
Arizona,,2021-03-17,81.8
Arizona,,2021-03-18,82.89999999999999
Arizona,,2021-03-19,80.2
Arizona,,2021-03-20,81.6
Arizona,,2021-03-21,83.6
Arizona,,2021-03-22,85
Arizona,,2021-03-23,82.89999999999999
Arizona,,2021-03-24,80.60000000000001
Arizona,,2021-03-25,81.8
Arizona,,2021-03-26,80.4
Arizona,,2021-03-27,81.6
Arizona,,2021-03-28,83.3
Arizona,,2021-03-29,84.7
Arizona,,2021-03-30,81.8
Arizona,,2021-03-31,80.2
Arizona,,2021-04-01,80.5
Arizona,,2021-04-02,79.3
Arizona,,2021-04-03,80.5
Arizona,,2021-04-04,82
Arizona,,2021-04-05,83.1
Arizona,,2021-04-06,80
Arizona,,2021-04-07,78.5
Arizona,,2021-04-08,78.7
Arizona,,2021-04-09,77.5
Arizona,,2021-04-10,78.60000000000001
Arizona,,2021-04-11,79.9
Arizona,,2021-04-12,80.80000000000001
Arizona,,2021-04-13,79.4
Arizona,,2021-04-14,78.10000000000001
Arizona,,2021-04-15,78.60000000000001
Arizona,,2021-04-16,77.60000000000001
Arizona,,2021-04-17,77.5
Arizona,,2021-04-18,78.5
Arizona,,2021-04-19,79.3
Arizona,,2021-04-20,78
Arizona,,2021-04-21,76.8
Arizona,,2021-04-22,77.2
Arizona,,2021-04-23,76.2
Arizona,,2021-04-24,76.6
Arizona,,2021-04-25,77.5
Arizona,,2021-04-26,78.2
Arizona,,2021-04-27,77.2
Arizona,,2021-04-28,76.3
Arizona,,2021-04-29,76.9
Arizona,,2021-04-30,76.7
Arizona,,2021-05-01,77
Arizona,,2021-05-02,77.60000000000001
Arizona,,2021-05-03,77.8
Arizona,,2021-05-04,75.1
Arizona,,2021-05-05,75.3
Arizona,,2021-05-06,75.5
Arizona,,2021-05-07,75.4
Arizona,,2021-05-08,75.4
Arizona,,2021-05-09,75.9
Arizona,,2021-05-10,76.4
Arizona,,2021-05-11,76.7
Arizona,,2021-05-12,74.6
Arizona,,2021-05-13,74.8
Arizona,,2021-05-14,74.4
Arizona,,2021-05-15,74.5
Arizona,,2021-05-16,75
Arizona,,2021-05-17,75.3
Arizona,,2021-05-18,75.4
Arizona,,2021-05-19,75.1
Arizona,,2021-05-20,75.1
Arizona,,2021-05-21,75
Arizona,,2021-05-22,75.1
Arizona,,2021-05-23,75.5
Arizona,,2021-05-24,75.9
Arizona,,2021-05-25,75.9
Arizona,,2021-05-26,76
Arizona,,2021-05-27,76.1
Arizona,,2021-05-28,76.1
Arizona,,2021-05-29,75.9
Arizona,,2021-05-30,76.2
Arizona,,2021-06-01,76.6
Arizona,,2021-06-02,76.5
Arizona,,2021-06-03,76.5
Arizona,,2021-06-04,76.6
Arizona,,2021-06-05,76.6
Arizona,,2021-06-06,76.9
Arizona,,2021-06-07,77.2
Arizona,,2021-06-08,77.2
Arizona,,2021-06-09,77.4
Arizona,,2021-06-10,77.4
Arizona,,2021-06-11,77.7
Arizona,,2021-06-12,77.9
Arizona,,2021-06-13,78.10000000000001
Arizona,,2021-06-14,78.4
Arizona,,2021-06-15,78.5
Arizona,,2021-06-16,78.4
Arizona,,2021-06-17,79
Arizona,,2021-06-18,78.9
Arizona,,2021-06-19,78.9
Arizona,,2021-06-20,79.10000000000001
Arizona,,2021-06-21,79.10000000000001
Arizona,,2021-06-22,79.4
Arkansas,,2021-01-12,14.899999999999999
Arkansas,,2021-01-13,31.900000000000002
Arkansas,,2021-01-14,36.4
Arkansas,,2021-01-15,39.7
Arkansas,,2021-01-19,47.8
Arkansas,,2021-01-20,51.800000000000004
Arkansas,,2021-01-21,47.9
Arkansas,,2021-01-22,55.7
Arkansas,,2021-01-23,54.7
Arkansas,,2021-01-24,58.099999999999994
Arkansas,,2021-01-25,60
Arkansas,,2021-01-26,59.9
Arkansas,,2021-01-27,62.2
Arkansas,,2021-01-28,55.800000000000004
Arkansas,,2021-01-29,59.5
Arkansas,,2021-01-30,63.6
Arkansas,,2021-01-31,67
Arkansas,,2021-02-01,68.60000000000001
Arkansas,,2021-02-02,67.2
Arkansas,,2021-02-03,64.60000000000001
Arkansas,,2021-02-04,65.4
Arkansas,,2021-02-05,65.60000000000001
Arkansas,,2021-02-06,69.39999999999999
Arkansas,,2021-02-07,72.89999999999999
Arkansas,,2021-02-08,74.4
Arkansas,,2021-02-09,69.6
Arkansas,,2021-02-10,71.8
Arkansas,,2021-02-11,72.6
Arkansas,,2021-02-12,71
Arkansas,,2021-02-13,72.5
Arkansas,,2021-02-14,74.9
Arkansas,,2021-02-16,76.5
Arkansas,,2021-02-17,75
Arkansas,,2021-02-18,73.9
Arkansas,,2021-02-19,74.8
Arkansas,,2021-02-20,75.3
Arkansas,,2021-02-21,76.4
Arkansas,,2021-02-22,77.4
Arkansas,,2021-02-23,68
Arkansas,,2021-02-24,67.9
Arkansas,,2021-02-25,69.3
Arkansas,,2021-02-26,69.39999999999999
Arkansas,,2021-02-27,69.8
Arkansas,,2021-02-28,72.7
Arkansas,,2021-03-01,74.1
Arkansas,,2021-03-02,69.69999999999999
Arkansas,,2021-03-03,71.2
Arkansas,,2021-03-04,71.1
Arkansas,,2021-03-05,68
Arkansas,,2021-03-06,68.4
Arkansas,,2021-03-07,70.3
Arkansas,,2021-03-08,71.1
Arkansas,,2021-03-09,67.60000000000001
Arkansas,,2021-03-10,68.8
Arkansas,,2021-03-11,66.2
Arkansas,,2021-03-12,68.4
Arkansas,,2021-03-13,70.5
Arkansas,,2021-03-14,70.5
Arkansas,,2021-03-15,71.3
Arkansas,,2021-03-16,67.30000000000001
Arkansas,,2021-03-17,68.30000000000001
Arkansas,,2021-03-18,68.4
Arkansas,,2021-03-19,67.7
Arkansas,,2021-03-20,66.5
Arkansas,,2021-03-21,68.10000000000001
Arkansas,,2021-03-22,68.8
Arkansas,,2021-03-23,65.9
Arkansas,,2021-03-24,67.10000000000001
Arkansas,,2021-03-25,67
Arkansas,,2021-03-26,67.5
Arkansas,,2021-03-27,67
Arkansas,,2021-03-28,68.8
Arkansas,,2021-03-29,69.39999999999999
Arkansas,,2021-03-30,66.4
Arkansas,,2021-03-31,67.10000000000001
Arkansas,,2021-04-01,66.7
Arkansas,,2021-04-02,67.7
Arkansas,,2021-04-03,68.4
Arkansas,,2021-04-04,68.5
Arkansas,,2021-04-05,69
Arkansas,,2021-04-06,67
Arkansas,,2021-04-07,66.7
Arkansas,,2021-04-08,67.80000000000001
Arkansas,,2021-04-09,66.2
Arkansas,,2021-04-10,67.30000000000001
Arkansas,,2021-04-11,68.7
Arkansas,,2021-04-12,69.19999999999999
Arkansas,,2021-04-13,66.60000000000001
Arkansas,,2021-04-14,67.2
Arkansas,,2021-04-15,68.2
Arkansas,,2021-04-16,68
Arkansas,,2021-04-17,66.9
Arkansas,,2021-04-18,68
Arkansas,,2021-04-19,68.30000000000001
Arkansas,,2021-04-20,67.60000000000001
Arkansas,,2021-04-21,66.5
Arkansas,,2021-04-22,66.60000000000001
Arkansas,,2021-04-23,66.10000000000001
Arkansas,,2021-04-24,66
Arkansas,,2021-04-25,66.7
Arkansas,,2021-04-26,67.10000000000001
Arkansas,,2021-04-27,66.5
Arkansas,,2021-04-28,66.8
Arkansas,,2021-04-29,67.4
Arkansas,,2021-04-30,67.80000000000001
Arkansas,,2021-05-01,68.2
Arkansas,,2021-05-02,69
Arkansas,,2021-05-03,69.19999999999999
Arkansas,,2021-05-04,69.3
Arkansas,,2021-05-05,69.5
Arkansas,,2021-05-06,70
Arkansas,,2021-05-07,70.19999999999999
Arkansas,,2021-05-08,70.39999999999999
Arkansas,,2021-05-09,71
Arkansas,,2021-05-10,71.2
Arkansas,,2021-05-11,70.8
Arkansas,,2021-05-12,71
Arkansas,,2021-05-13,71.2
